FormDesign,FormDesign,E:\Sripts\Leaner tracking\Practical\Images\Access\FormDesign.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FormDesign.png,Local Access VBA GetImageMso:CreateFormInDesignView
FormWizard,FormWizard,E:\Sripts\Leaner tracking\Practical\Images\Access\FormWizard.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FormWizard.png,Local Access VBA GetImageMso:AccessFormWizard
FormatPainter,Format Painter,E:\Sripts\Leaner tracking\Practical\Images\Access\FormatPainter.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\FormatPainter.png,Local Access VBA GetImageMso:FormatPainter
GoToMenu,GoToMenu,E:\Sripts\Leaner tracking\Practical\Images\Access\GoToMenu.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\GoToMenu.png,Local Access VBA GetImageMso:GoToMenu
GridlinesMenu,GridlinesMenu,E:\Sripts\Leaner tracking\Practical\Images\Access\GridlinesMenu.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\GridlinesMenu.png,Local Access VBA GetImageMso:GridlinesMenu
GroupSortTotal,GroupSortTotal,E:\Sripts\Leaner tracking\Practical\Images\Access\GroupSortTotal.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\GroupSortTotal.png,Local Access VBA GetImageMso:RecordsTotals
ImportAccess,ImportAccess,E:\Sripts\Leaner tracking\Practical\Images\Access\ImportAccess.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ImportAccess.png,Local Access VBA GetImageMso:ImportAccess
ImportExcel,ImportExcel,E:\Sripts\Leaner tracking\Practical\Images\Access\ImportExcel.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ImportExcel.png,Local Access VBA GetImageMso:ImportExcel
ImportMore,ImportMore,E:\Sripts\Leaner tracking\Practical\Images\Access\ImportMore.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ImportMore.png,Local Access VBA GetImageMso:ImportMoreMenu
ImportNewDataSource,ImportNewDataSource,E:\Sripts\Leaner tracking\Practical\Images\Access\ImportNewDataSource.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ImportNewDataSource.png,Local Access VBA GetImageMso:DatabaseInsert
ImportODBC,ImportODBC,E:\Sripts\Leaner tracking\Practical\Images\Access\ImportODBC.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ImportODBC.png,Local Access VBA GetImageMso:DatabaseInsert
ImportText,ImportText,E:\Sripts\Leaner tracking\Practical\Images\Access\ImportText.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ImportText.png,Local Access VBA GetImageMso:ImportTextFile
ImportXml,ImportXml,E:\Sripts\Leaner tracking\Practical\Images\Access\ImportXml.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ImportXml.png,Local Access VBA GetImageMso:ImportXmlFile
Indexes,Indexes,E:\Sripts\Leaner tracking\Practical\Images\Access\Indexes.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\Indexes.png,Local Access VBA GetImageMso:IndexInsert
InsertColumnLeft,InsertColumnLeft,E:\Sripts\Leaner tracking\Practical\Images\Access\InsertColumnLeft.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\InsertColumnLeft.png,Local Access VBA GetImageMso:InsertColumnLeft
InsertColumnRight,InsertColumnRight,E:\Sripts\Leaner tracking\Practical\Images\Access\InsertColumnRight.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\InsertColumnRight.png,Local Access VBA GetImageMso:InsertColumnRight
InsertRowAbove,InsertRowAbove,E:\Sripts\Leaner tracking\Practical\Images\Access\InsertRowAbove.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\InsertRowAbove.png,Local Access VBA GetImageMso:InsertRowAbove
InsertRowBelow,InsertRowBelow,E:\Sripts\Leaner tracking\Practical\Images\Access\InsertRowBelow.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\InsertRowBelow.png,Local Access VBA GetImageMso:InsertRowBelow
Italic,Italic,E:\Sripts\Leaner tracking\Practical\Images\Access\Italic.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\Italic.png,Local Access VBA GetImageMso:Italic
LabelWizard,LabelWizard,E:\Sripts\Leaner tracking\Practical\Images\Access\LabelWizard.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\LabelWizard.png,Local Access VBA GetImageMso:LabelsDialog
LogoInsert,Pictures...,E:\Sripts\Leaner tracking\Practical\Images\Access\LogoInsert.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\LogoInsert.png,Local Access VBA GetImageMso:PictureInsertFromFile
MacroActionCatalog,MacroActionCatalog,E:\Sripts\Leaner tracking\Practical\Images\Access\MacroActionCatalog.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\MacroActionCatalog.png,Local Access VBA GetImageMso:MacroDefault
MacroCollapseActions,MacroCollapseActions,E:\Sripts\Leaner tracking\Practical\Images\Access\MacroCollapseActions.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\MacroCollapseActions.png,Local Access VBA GetImageMso:OutlineCollapse
MacroCollapseAll,MacroCollapseAll,E:\Sripts\Leaner tracking\Practical\Images\Access\MacroCollapseAll.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\MacroCollapseAll.png,Local Access VBA GetImageMso:OutlineCollapse
MacroCreate,MacroCreate,E:\Sripts\Leaner tracking\Practical\Images\Access\MacroCreate.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\MacroCreate.png,Local Access VBA GetImageMso:CreateMacro
MacroExpandActions,MacroExpandActions,E:\Sripts\Leaner tracking\Practical\Images\Access\MacroExpandActions.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\MacroExpandActions.png,Local Access VBA GetImageMso:OutlineExpand
MacroExpandAll,MacroExpandAll,E:\Sripts\Leaner tracking\Practical\Images\Access\MacroExpandAll.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\MacroExpandAll.png,Local Access VBA GetImageMso:OutlineExpandAll
MacroRun,MacroRun,E:\Sripts\Leaner tracking\Practical\Images\Access\MacroRun.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\MacroRun.png,Local Access VBA GetImageMso:MacroRun
MacroShowAllActions,MacroShowAllActions,E:\Sripts\Leaner tracking\Practical\Images\Access\MacroShowAllActions.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\MacroShowAllActions.png,Local Access VBA GetImageMso:MacroShowAllActions
MacroSingleStep,MacroSingleStep,E:\Sripts\Leaner tracking\Practical\Images\Access\MacroSingleStep.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\MacroSingleStep.png,Local Access VBA GetImageMso:MacroSingleStep
ManageDataCollectionMessages,ManageDataCollectionMessages,E:\Sripts\Leaner tracking\Practical\Images\Access\ManageDataCollectionMessages.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ManageDataCollectionMessages.png,Local Access VBA GetImageMso:CreateEmail
ModuleInsert,ModuleInsert,E:\Sripts\Leaner tracking\Practical\Images\Access\ModuleInsert.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ModuleInsert.png,Local Access VBA GetImageMso:ModuleInsert
MoreFormsGallery,MoreFormsGallery,E:\Sripts\Leaner tracking\Practical\Images\Access\MoreFormsGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\MoreFormsGallery.png,Local Access VBA GetImageMso:CreateFormMoreFormsGallery
MoveToAccessDatabase,MoveToAccessDatabase,E:\Sripts\Leaner tracking\Practical\Images\Access\MoveToAccessDatabase.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\MoveToAccessDatabase.png,Local Access VBA GetImageMso:ExportAccess
